category,domain_name,file_name,file_urls,files,meaning,word
n.m.,uchicago_S_Hassan,akιhārι.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00124.mp3,,"gym, fitness centre, arena",akιhārι
adj.,uchicago_S_Hassan,akιhot.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00125.mp3,,"perplexed, confused, disturbed",akιhot
n.m.,uchicago_S_Hassan,akιhə̄ṭʰ.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00126.mp3,,sixty-one,akιhə̄ṭʰ
adj.,uchicago_S_Hassan,akιhə̄ṭʰʸum.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00127.mp3,,sixty-first,akιhə̄ṭʰʸum
adj.,uchicago_S_Hassan,akιnandun.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00128.mp3,,the only-son,akιnandun
n.m.,uchicago_S_Hassan,akιnǝmatʰ.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00129.mp3,,ninety-one,akιnǝmatʰ
adj.,uchicago_S_Hassan,akιnǝmtihʸum.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00130.mp3,,ninety-first,akιnǝmtihʸum
n.m.,uchicago_S_Hassan,akιsattatʰ.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00131.mp3,,seventy-one,akιsattatʰ
adj.,uchicago_S_Hassan,akιsatihʸum.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00132.mp3,,seventy-first,akιsatihʸum
n.m.,uchicago_S_Hassan,akιšītʰ.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00133.mp3,,eighty-one,akιšītʰ
adj.,uchicago_S_Hassan,akιšītihum.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00134.mp3,,eighty-first,akιšītihum
n.m.,uchicago_S_Hassan,akιtrιh.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00135.mp3,,thirty- one,akιtrιh
